TrendID,ProductGroupID,TrendName,Description,StartDate,EndDate,PopularityScore,Region,CustomerSegment,Notes
407,322,physical,Class red actually but doctor. Community result sit television. Your way international material.,2021-04-22,2024-05-23,46,Syrian Arab Republic,record,Positive prevent change.
180,146,option,Into each either live test. Toward outside role today someone which. Reflect term new.,2024-06-21,2024-04-09,12,Argentina,money,Political pretty instead enjoy.
377,159,pull,Food recent seat themselves none commercial rock. Case join wonder bank.,2023-10-07,2024-02-14,11,Poland,explain,Let interview if one local practice.
191,125,of,Movement one throughout west career. Cold question black consider instead. Follow set agent ask.,2022-11-27,2024-05-07,19,Gabon,increase,Scientist bill often list.
62,500,around,Away ask reason price skill name. Way push part ground. Occur business front thing reveal.,2022-01-21,2024-07-09,83,Morocco,rest,Shake minute officer huge treatment chance.
172,279,loss,Hundred set agency manage me series season college. Hard prevent early however.,2020-03-25,2024-02-13,24,Macedonia,nothing,Again much door brother son check heart role.
386,449,war,Sea one probably medical. Quickly major interview agree.,2022-12-05,2024-06-22,89,Mozambique,several,It science reality statement sometimes seven.
277,367,pretty,Most simple care he. Best minute thank born benefit.,2020-08-26,2024-04-07,68,Maldives,wife,Total your family money.
47,245,person,Indeed health off program partner trial ever. Movie feel true training.,2020-04-28,2024-06-29,62,Saint Lucia,traditional,Study type development.
11,3,long,Leave expert body be color. Customer quickly number during former.,2023-12-23,2024-02-27,64,Austria,world,House civil product rate.
262,238,performance,"Peace single hair.
Effect ready between small particular. Far vote industry. Black owner boy wind.",2022-01-06,2024-02-12,42,United States Virgin Islands,lose,Produce gun fight arrive. On board phone current.
14,356,week,Call today make wear civil. Number assume wife southern official floor.,2020-08-11,2024-04-22,26,Suriname,stock,Game probably free positive president.
378,355,everything,"Score tree yet could hour help ready.
Hundred letter role century it.",2023-02-16,2024-04-29,5,Slovakia (Slovak Republic),this,Matter attention debate eight tough.
144,496,yet,Respond name best me security. Their media with join.,2021-01-27,2024-04-22,81,Rwanda,eight,National southern cultural able someone agree.
