ProductGroupID,GroupName,Description,Category,ParentGroupID,CreatedDate,UpdatedDate,IsActive,Priority,Notes
348,purpose,Card stop common history office even very. Author morning yourself identify she.,issue,158,2020-09-02,2024-06-03,0,9,On sound management size.
498,high,Design there option or tough cold. Nearly draw large customer give research.,before,103,2021-04-02,2024-04-29,1,1,Page since mission toward somebody modern seven.
271,listen,Foreign begin occur method prove former report.,write,110,2023-07-08,2024-03-07,0,6,Amount plant hear oil.
449,feel,Above least show buy. Analysis into attack. Run employee either play.,respond,36,2021-05-25,2024-01-13,0,4,Beat perform involve color agent.
95,respond,Color real floor next bring parent. Newspaper deep lot a wear. Teach unit reach quality service on.,a,14,2022-08-07,2024-05-29,1,5,Like air raise north power.
148,door,Student during site radio remain beautiful.,meet,7,2020-11-27,2024-01-19,0,10,Doctor worry seat.
104,will,Writer bar still evidence let. Buy decide available two involve off indeed sport.,time,172,2023-08-02,2024-06-02,1,2,Again stage she win third anything old.
384,life,Option use their wish development she. Significant speech speak system.,today,28,2020-08-29,2024-06-26,1,1,Sometimes these weight cell article smile.
379,you,Food available gun middle. Speak international same than catch.,clearly,79,2023-04-16,2024-05-15,0,7,Born cup fall standard.
175,south,Several goal particular less. Show professor but eye window.,star,72,2022-07-18,2024-04-17,1,3,Act then then American Mr may.
385,because,How rock through available agree strong process. Place interesting yet respond age finally say.,option,56,2023-06-20,2024-03-21,1,1,That well hold performance final.
256,throughout,Usually include his southern drop. Manager month happen debate feel quite.,long,198,2024-02-26,2024-01-15,0,3,Environmental bag apply artist just career.
64,still,Wait usually range now direction officer. Bring sing them wide.,enter,160,2020-10-01,2024-02-01,1,5,Ready nice especially space.
368,move,Push official form another. Door campaign interesting. Film garden west kitchen.,make,121,2020-05-28,2024-05-23,1,3,Air whatever one worry direction room.
366,network,Wind easy particular. Project either floor his bill.,most,34,2023-12-21,2024-02-03,1,5,Dog everybody piece hospital my throw.
230,certainly,"East collection start also mind. Water break establish.
Enjoy raise pattern.",control,95,2023-07-13,2024-01-31,1,8,Capital young take cultural.
324,low,Sound argue cut develop line. Meeting response character site six money.,great,184,2023-10-14,2024-05-14,1,3,College history want fire laugh remain style.
244,operation,Per standard effort scene eye even scene. Process its leg other center ever.,middle,148,2022-04-16,2024-02-19,1,10,Actually them church miss require happen.
33,fine,Employee teach economy commercial try painting specific. Decade huge economic six rock.,must,19,2022-05-11,2024-06-16,0,6,Center two natural throw.
424,garden,Expect nor also other rate. Role important security task write across.,house,110,2021-02-11,2024-06-04,0,5,True father door budget.
173,strategy,Culture hundred Republican far.,strong,116,2024-02-12,2024-03-06,0,5,Author laugh coach.
89,check,Loss goal bit itself more might real. Performance method store.,develop,30,2021-04-03,2024-01-28,1,3,Enter range season degree.
