AccessID,CustomerID,AccessDate,AccessTime,PageVisited,Duration,DeviceType,Browser,IPAddress,ReferralSource,ActionPerformed
3078,9572,2024-05-23,23:12:31,privacy,671,Mobile,Opera,220.144.92.29,occur,without
9614,6094,2024-02-01,15:08:03,search,142,Mobile,Firefox,91.156.118.120,lot,result
1827,2731,2024-01-13,00:18:52,main,996,Desktop,Chrome,161.239.57.151,would,explain
8098,4982,2024-01-29,15:32:54,search,2270,Mobile,Opera,203.122.180.90,care,I
61,5170,2024-03-07,00:40:28,register,3193,Tablet,Chrome,219.89.160.216,decision,who
1316,68,2024-02-29,14:57:34,post,736,Mobile,Safari,37.64.101.107,there,themselves
847,27,2024-05-18,21:29:04,about,1868,Mobile,Opera,131.74.181.242,generation,environmental
4433,3367,2024-05-09,18:27:49,about,2357,Tablet,Chrome,28.11.184.224,vote,letter
3231,1055,2024-03-03,12:00:30,homepage,3127,Mobile,Chrome,69.129.124.35,road,here
9279,6429,2024-05-22,13:00:53,category,3033,Tablet,Chrome,219.71.185.98,strong,music
5761,9258,2024-02-08,05:41:39,post,1699,Tablet,Edge,75.54.84.44,computer,level
8415,4554,2024-06-09,02:05:50,main,1668,Tablet,Safari,50.6.174.231,different,compare
1548,4066,2024-03-12,06:42:46,home,504,Mobile,Chrome,101.236.85.86,gun,glass
3550,3272,2024-04-01,02:36:43,main,2461,Desktop,Firefox,86.114.125.198,president,nearly
1929,7132,2024-05-21,16:04:38,index,3036,Mobile,Chrome,183.59.250.183,institution,glass
482,7233,2024-02-10,05:09:53,category,3347,Tablet,Firefox,179.138.183.240,sign,sport
6597,3021,2024-04-19,19:22:11,main,655,Tablet,Opera,88.75.214.177,each,anything
9153,4982,2024-02-21,10:04:42,about,22,Tablet,Chrome,94.148.132.39,impact,save
555,8231,2024-02-06,06:58:33,search,2832,Tablet,Chrome,65.9.45.124,attorney,name
7794,1714,2024-03-12,05:25:07,post,869,Mobile,Firefox,109.214.146.245,plan,sure
780,8702,2024-06-22,23:15:21,faq,1434,Tablet,Opera,121.140.109.120,culture,ok
761,27,2024-01-20,17:18:53,post,1986,Tablet,Firefox,202.168.139.153,require,degree
8465,3389,2024-04-11,08:52:46,faq,3479,Mobile,Chrome,67.196.102.102,simply,community
9133,1694,2024-07-09,20:58:19,search,1077,Mobile,Edge,94.138.143.85,sound,once
7163,9657,2024-03-08,22:35:31,privacy,864,Desktop,Opera,69.94.139.224,media,live
5592,2637,2024-03-11,18:20:21,search,3189,Mobile,Opera,27.33.253.135,senior,product
1783,3224,2024-04-28,19:52:49,terms,3076,Mobile,Edge,114.231.104.253,hard,soon
3780,2501,2024-03-16,11:37:47,author,265,Tablet,Chrome,30.56.24.69,pass,forget
1568,2948,2024-03-30,16:26:59,category,722,Tablet,Opera,119.121.226.219,without,personal
9864,8675,2024-04-04,10:46:48,login,2936,Tablet,Firefox,209.100.136.51,expert,issue
472,9331,2024-07-04,15:17:49,homepage,3237,Mobile,Edge,59.27.62.15,teacher,for
942,2294,2024-04-15,09:49:27,login,2169,Desktop,Edge,117.239.133.94,seem,possible
4222,409,2024-03-23,11:10:53,privacy,1599,Tablet,Opera,205.185.124.73,number,total
4883,7482,2024-06-02,14:16:07,index,2493,Desktop,Opera,43.240.86.252,process,finally
